readability,document_size,redundancy_check,function_size,resolutions,sample_index
83.33,48.0,91.67,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",582
100.0,40.0,90.0,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",493
100.0,40.0,90.0,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",811
100.0,40.0,90.0,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",965
83.33,48.0,91.67,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",504
100.0,44.0,90.91,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",703
83.33,48.0,91.67,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",168
83.33,48.0,91.67,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",482
100.0,40.0,90.0,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",531
83.33,48.0,91.67,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",471
71.43,56.0,92.86,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",3
100.0,40.0,90.0,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",935
100.0,36.0,88.89,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",964
83.33,48.0,91.67,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",414
100.0,32.0,87.5,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",785
100.0,40.0,90.0,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",791
100.0,36.0,88.89,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",921
100.0,36.0,88.89,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",148
83.33,48.0,91.67,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",399
100.0,40.0,90.0,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",98
100.0,40.0,90.0,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",717
83.33,48.0,91.67,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",260
83.33,48.0,91.67,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",382
71.43,56.0,92.86,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",769
100.0,12.0,100.0,100.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m']",899
71.43,56.0,92.86,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",31
71.43,56.0,92.86,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",235
100.0,52.0,92.31,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",132
83.33,48.0,91.67,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",74
100.0,44.0,90.91,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",708
71.43,56.0,92.86,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",489
100.0,40.0,90.0,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",180
100.0,48.0,91.67,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",116
76.92,52.0,92.31,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",340
83.33,48.0,91.67,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",162
100.0,36.0,88.89,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",181
100.0,52.0,92.31,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",195
83.33,48.0,91.67,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",255
76.92,52.0,92.31,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",315
100.0,40.0,90.0,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",103
83.33,48.0,91.67,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",92
100.0,36.0,88.89,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",638
90.91,44.0,90.91,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",55
100.0,36.0,88.89,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",237
83.33,48.0,91.67,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",27
100.0,40.0,90.0,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",858
100.0,52.0,92.31,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",95
100.0,36.0,88.89,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",171
83.33,48.0,91.67,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",256
100.0,24.0,100.0,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",373
83.33,48.0,91.67,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",17
83.33,48.0,91.67,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",689
100.0,40.0,90.0,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",878
62.5,64.0,93.75,50.0,"['\x1b[36mAdding comments, giving helpful variable names, consistent casing may help with readability.\x1b[0m', '\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",448
100.0,60.0,93.33,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",372
100.0,60.0,93.33,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",160
100.0,36.0,88.89,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",84
71.43,56.0,92.86,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",438
100.0,36.0,88.89,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",12
100.0,48.0,91.67,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",700
100.0,40.0,90.0,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",943
100.0,36.0,88.89,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",349
83.33,48.0,91.67,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",472
83.33,48.0,91.67,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",577
83.33,48.0,91.67,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",29
100.0,52.0,92.31,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",278
100.0,56.0,92.86,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",338
83.33,48.0,91.67,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",413
100.0,48.0,91.67,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",782
83.33,48.0,91.67,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",720
83.33,48.0,91.67,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",963
83.33,48.0,91.67,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",427
100.0,36.0,88.89,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",857
100.0,28.0,85.71,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",620
71.43,56.0,92.86,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",378
100.0,60.0,93.33,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",238
100.0,36.0,88.89,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",279
100.0,36.0,88.89,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",503
100.0,40.0,90.0,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",783
100.0,36.0,88.89,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",69
100.0,52.0,92.31,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",38
83.33,48.0,91.67,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",537
100.0,28.0,100.0,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",477
100.0,40.0,90.0,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",5
100.0,56.0,92.86,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",797
83.33,48.0,91.67,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",463
83.33,48.0,91.67,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",358
100.0,40.0,90.0,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",787
100.0,36.0,88.89,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",696
