readability,document_size,redundancy_check,function_size,resolutions,sample_index
100.0,52.0,92.31,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",4142
100.0,64.0,93.75,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",320
100.0,48.0,91.67,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",2300
100.0,52.0,92.31,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",2499
100.0,72.0,88.89,50.0,['\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m'],1497
100.0,64.0,87.5,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",3530
100.0,52.0,92.31,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",4335
100.0,52.0,92.31,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",1883
100.0,48.0,91.67,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",3736
93.75,64.0,93.75,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",3776
100.0,52.0,92.31,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",3129
100.0,68.0,88.24,50.0,['\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m'],3028
100.0,72.0,94.44,50.0,['\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m'],2166
83.33,48.0,91.67,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",3684
100.0,68.0,94.12,50.0,['\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m'],3461
100.0,60.0,93.33,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",4163
100.0,100.0,78.57,50.0,['\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m'],3851
90.91,44.0,90.91,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",4889
88.24,68.0,88.24,50.0,['\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m'],4205
100.0,68.0,88.24,50.0,['\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m'],4102
100.0,52.0,92.31,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",2878
100.0,64.0,87.5,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",3786
58.82,68.0,88.24,50.0,"['\x1b[36mAdding comments, giving helpful variable names, consistent casing may help with readability.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",429
100.0,52.0,92.31,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",1413
100.0,48.0,91.67,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",4376
100.0,64.0,87.5,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",1745
100.0,60.0,93.33,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",3433
100.0,60.0,93.33,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",3413
100.0,28.0,85.71,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",3693
100.0,56.0,92.86,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",1765
100.0,52.0,92.31,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",3369
100.0,60.0,93.33,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",363
78.95,76.0,89.47,50.0,['\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m'],3577
100.0,56.0,92.86,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",3537
100.0,52.0,92.31,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",1853
88.24,68.0,88.24,50.0,['\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m'],63
76.92,100.0,88.46,50.0,['\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m'],4798
100.0,52.0,92.31,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",2154
100.0,56.0,92.86,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",1591
100.0,52.0,92.31,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",3754
100.0,48.0,91.67,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",280
100.0,52.0,92.31,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",1562
100.0,48.0,91.67,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",1585
100.0,52.0,92.31,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",303
100.0,56.0,92.86,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",1537
83.33,48.0,91.67,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",3182
100.0,48.0,91.67,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",4877
100.0,60.0,93.33,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",1011
100.0,48.0,91.67,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",2594
100.0,48.0,91.67,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",3044
83.33,48.0,91.67,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",1110
71.43,56.0,92.86,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",644
100.0,48.0,91.67,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",4715
100.0,100.0,85.71,50.0,['\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m'],1021
100.0,52.0,92.31,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",2557
100.0,60.0,93.33,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",1569
100.0,80.0,90.0,50.0,['\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m'],1353
83.33,72.0,88.89,50.0,['\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m'],3273
100.0,48.0,91.67,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",3111
100.0,56.0,92.86,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",1154
100.0,60.0,93.33,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",1808
71.43,56.0,92.86,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",2913
100.0,80.0,90.0,50.0,['\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m'],3519
100.0,48.0,91.67,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",3978
100.0,52.0,92.31,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",927
100.0,56.0,92.86,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",4563
100.0,52.0,92.31,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",853
95.24,100.0,85.71,50.0,['\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m'],2513
100.0,48.0,91.67,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",2527
100.0,48.0,91.67,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",480
